id;ward_code;name;name_en;full_name;full_name_en;code_name;administrative_unit_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;district_id
1;accept toady basic;writhing following;minus extremely bah;lest jam-packed mockingly;whether;modulo beneath;15408;2025-10-28T12:43:08;2025-10-28T03:06:27;false;2025-10-28T04:29:43;9530237b-49d4-4226-bc26-cbc5c27bf4b8;1
2;scarily;drum overburden;sense phooey;whistle meanwhile freckle;times;catch miscalculate analogy;2363;2025-10-28T21:52:08;2025-10-28T23:12:02;false;2025-10-28T02:47:29;92b682ed-c8ac-4e54-ac19-09da52821a92;2
3;which lively;obedience;in even;where as rapidly;broadly what;athwart aw;1460;2025-10-28T06:55:02;2025-10-28T15:36:27;true;2025-10-28T19:50:39;42855e88-29a9-4424-8303-975f1148782e;3
4;mispronounce;kissingly going gape;hence;tuba why needy;whereas;qua;1168;2025-10-28T11:42:01;2025-10-28T09:23:22;false;2025-10-28T00:00:43;3023af83-8be1-4af1-b5f5-775e8b20a896;4
5;provided instance;woefully;anti;that;midst eek;gad among;23310;2025-10-28T14:18:18;2025-10-28T16:31:52;true;2025-10-28T05:32:49;8583eaa3-935a-4bd7-ad75-1b6f8258178c;5
6;unconscious into which;hurtful major;dicker sternly;happily towards;imagineer monasticism rise;after;14219;2025-10-28T07:58:05;2025-10-28T08:05:33;true;2025-10-28T10:23:37;b69b1428-14c1-41b1-9b21-ddaf08861df2;6
7;jut archaeology;fatally;yet better;throughout victoriously peppery;schedule;brr;18543;2025-10-28T05:09:55;2025-10-28T12:50:01;false;2025-10-28T17:17:28;6d27c556-4572-499b-9732-f7dfee72410a;7
8;yippee;gah underpants;indeed parched encode;accompany brightly;or ugh;lovable spork;21079;2025-10-28T10:04:48;2025-10-28T04:58:26;true;2025-10-28T05:46:57;f9365603-03e2-4e5e-9411-d1512b6554db;8
9;thoroughly teriyaki;ditch properly unto;nightlife tough mid;commodity incidentally;until;doubtfully lazily;21823;2025-10-28T00:00:28;2025-10-28T16:06:03;true;2025-10-28T12:35:46;8bdc09a4-f1ae-4b23-baa5-54888d346a27;9
10;design save;woefully now;lest;helpfully wetly hm;unless;blah among nocturnal;6701;2025-10-28T12:26:37;2025-10-28T18:50:58;false;2025-10-28T05:08:13;5de2aca0-1599-477f-99dd-692923dc400f;10
